CS 100, BARRETT, MEDIAWIKI , 47.50, 9780596519797
CS 100, WITTEN ET AL, WEB DRAGONS, 35.00, 9780123706096
CS 115, CD DEPT, COURSEWARE AVAILABLE AT MEDIA DOC MATH - MC 2018, 1.00, 281082675562B
CS 115, I-CLICKER, I-CLICKER + RF RESPONSE REMOTE, 40.00, 9781464185922
CS 115, FELLEISEN ET AL, HOW TO DESIGN PROGRAMS, 86.40, 9780262062183
CS 116, CD DEPT, COURSEWARE AVAILABLE AT MEDIA DOC MATH - MC 2018, 1.00, 281082675562B
CS 116, I-CLICKER, I-CLICKER + RF RESPONSE REMOTE, 40.00, 9781464185922
CS 116, FELLEISEN ET AL, HOW TO DESIGN PROGRAMS, 86.40, 9780262062183
CS 116, DOWNEY, THINK PYTHON , 15.00, 9780999012352
CS 135, I-CLICKER, I-CLICKER + RF RESPONSE REMOTE, 40.00, 9781464185922
CS 135, FELLEISEN ET AL, HOW TO DESIGN PROGRAMS, 86.40, 9780262062183
CS 135, CD DEPT, COURSEWARE AVAILABLE AT MEDIA DOC MATH - MC 2018, 1.00, 281082675562B
CS 136, KING, C PROGRAMMING , 139.00, 9780393979503
CS 136, I-CLICKER, I-CLICKER + RF RESPONSE REMOTE, 40.00, 9781464185922
CS 136, FELLEISEN ET AL, HOW TO DESIGN PROGRAMS, 86.40, 9780262062183
CS 136, CD DEPT, COURSEWARE AVAILABLE AT MEDIA DOC MATH - MC 2018, 1.00, 281082675562B
CS 138, SAVITCH, ABSOLUTE C++ 5ED, 170.90, 9780132830713
CS 146, KING, C PROGRAMMING , 139.00, 9780393979503
CS 230, PATTERSON & HENNESSY, COMPUTER ORGANIZATION AND DESIGN 5ED, 98.95, 9780124077263
CS 240, SEDGEWICK, ALGORITHMS IN C++, PARTS 1-4 3ED, 78.99, 9780201350883
CS 241, THIS IS NOT A TEXT, NO TEXTS REQUIRED - SEE COURSE SYLLABUS, 0.01, 281000002329B
CS 245, HUTH & RYAN, LOGIC IN COMPUTER SCIENCE 2ED, 88.95, 9780521543101
CS 245, ZHONGWAN, MATHEMATICAL LOGIC FOR COMPUTER SCIENCE 2ED, 89.75, 9789810230913
CS 246, SAVITCH, ABSOLUTE C++ 5ED, 170.90, 9780132830713
